org_name	addr	contact_phone
陳彥銘耳鼻喉科診所	台北市士東路12之1號	228381770
京東牙醫診所	台北市士東路200巷70號	28349541
吳越夫牙醫診所	台北市士東路266巷5弄17之1號	228352056
千賀牙醫診所	台北市士東路32號	228347310
易和中醫診所	台北市士東路45號	28766030
寬安中醫診所	台北市士東路50號	228369117
福元牙醫診所	台北市士東路65號	228733620
政吉內科診所	台北市士東路67號	228748318
維安牙醫診所	台北市士東路91巷30號	02-28748866
柏宏中醫診所	台北市士商路78號	228824071
蘇家醫科診所	台北市大北路20號	228825236
陳剛朗耳鼻喉科診所	台北市大北路64號	228827909
惠周內兒科診所	台北市大北路96號	228812962
芳川牙醫診所	台北市大西路19號	2881-2214
昭亮牙醫診所	台北市大西路25號	228821573
永慶牙醫診所	台北市大東路127號	228817289
鴻林診所	台北市大東路128號	228820437
福康診所	台北市大東路131號	2881-8280
楊恭熙牙醫診所	台北市大東路137號	2883-8549
柯耳鼻喉科診所	台北市大東路144號	228828825
新長庚中醫診所	台北市大東路176號	228837876
保安眼科診所	台北市大東路44號	28832868
德福診所	台北市大東路77號	228811982
蘇慧卿診所	台北市大南路274號	228829955
常甡中醫診所	台北市小北街11號	228810689
立安復健科診所	台北市小北街15號	88611590
茂林牙醫診所	台北市小北街1之3號	228831958
東成牙醫診所	台北市小北街23號	228828322
陳瑞騰眼科診所	台北市小北街3之1號	228829245
漢醫堂中醫診所	台北市小北街7號	02-28827798
家愛小兒科診所	台北市中山北路5段633號	28368320
得士登牙醫診所	台北市中山北路6段150號	88665848
立全復健科診所	台北市中山北路6段182號	28314669
高醫師家庭醫學科診所	台北市中山北路7段17號	02-28744545
凱硯診所	台北市中山北路七段110號	02-29461575、0927-673918
迦美診所	台北市中山北路七段14巷2之2號	28738557
羅氏皮膚科診所	台北市中山北路七段14巷2號	228743222
先進牙醫聯合診所	台北市中山北路七段14巷2號	228754012
徐永康整形外科診所	台北市中山北路七段15號	02-28753036
立安牙醫診所	台北市中山北路七段165之3號	228711611
慶昇中醫診所	台北市中山北路七段190巷1號	28772346
天母牙醫診所	台北市中山北路七段29號	28713865
世康中醫診所	台北市中山北路七段39號	02-28752001
以新牙醫診所	台北市中山北路七段56之3號	228740162
弘佑牙醫診所	台北市中山北路七段64號	228711299
貝爾聯合診所	台北市中山北路七段82巷9號	28729980
親親牙醫診所	台北市中山北路五段622號	228357730
大豐牙醫診所	台北市中山北路五段684號	228321183
